IssuerID,Issuer_Name,State
11082,Aetna Life ,AK
62637,John Alden Life ,AK
73836,Moda Health Plan ,AK
38344,Premera Blue Cross Blue Shield,AK
38596,Time ,AK
80049,UnitedHealthcare ,AK
42159,All Savers ,AL
46944,Blue Cross and Blue Shield,AL
44902,Federated Mutual ,AL
93122,Freedom Life Insurance,AL
44580,Humana ,AL
49771,John Alden Life ,AL
13939,Time ,AL
69461,UnitedHealthcare ,AL
59809,UnitedHealthcare Life ,AL
68259,UnitedHealthcare ,AL
93018,VIVA Health,AL
62141,Celtic ,AR
60079,Coventry Health and Life,AR
89365,Federated Mutual ,AR
61273,Freedom Life Insurance,AR
13262,HMO Partners ,AR
99685,Humana ,AR
51826,John Alden Life ,AR
70525,QCA Health Plan ,AR
37903,QualChoice Life & Health  ,AR
30991,Time ,AR
22732,UnitedHealthcare Ins Co Valley,AR
81392,UnitedHealthcare ,AR
53135,UnitedHealthcare Life ,AR
65817,UnitedHealthcare ,AR
75293,USAble Mutual ,AR
78611,Aetna Life ,AZ
84251,Aetna Life ,AZ
98971,All Savers ,AZ
53901,Blue Cross Blue Shield ,AZ
86830,Cigna Health and Life ,AZ
75849,Freedom Life Insurance,AZ
70239,Health Choice Insurance Co,AZ
51485,Health Net Life ,AZ
91450,Health Net ,AZ
23307,Humana ,AZ
66105,Humana ,AZ
73893,John Alden Life ,AZ
23029,Madison National Life,AZ
60761,Meritus Health Partners,AZ
92045,Meritus Mutual Health Partners,AZ
59096,Standard Security Life,AZ
80863,Time ,AZ
82011,UnitedHealthcare ,AZ
90169,UnitedHealthcare Life ,AZ
40702,UnitedHealthcare ,AZ
88925,University Health Plans-University Healthcare ,AZ
20523,Aetna Life ,CA
40733,Aetna Life ,CA
27603,Blue Cross(Anthem BC),CA
70285,CA Physician's Service dba Blue Shield,CA
47579,Chinese Community Health Plan,CA
40025,Cigna Health and Life ,CA
99483,Contra Costa Health Plan,CA
84014,County Clara,CA
56887,County dba Ventura County Health Care Plan,CA
99110,Health Net Life ,CA
67138,Health Net ,CA
68744,Humana ,CA
40513,Kaiser Foundation Health Plan ,CA
27330,Kaiser Permanente ,CA
92815,Local Initiative Health Authority for Los Angeles County,CA
18126,MOLINA HEALTHCARE,CA
92499,Sharp Health Plan,CA
64198,Time ,CA
35305,Trustmark Life ,CA
49116,UHC,CA
95677,UnitedHealthcare ,CA
93689,Western Health Advantage,CA
92137,All Savers ,CO
49375,Cigna Health and Life ,CO
63312,Colorado Choice Health Plans,CO
20472,Colorado Health Insurance Cooperative ,CO
66699,Denver Health Medical Plan ,CO
76680,HMO Colorado  dba HMO Nevada,CO
74320,Humana ,CO
79509,Humana ,CO
21032,Kaiser Foundation Health Plan,CO
35944,Kaiser Permanente ,CO
11555,New Health Ventures ,CO
80208,Rocky Mountain Health Care Options,CO
97879,Rocky Mountain HMO,CO
87269,Rocky Mountain Hospital and Medical Service  dba Anthem Blue Cross and Blue Shield,CO
39060,Time ,CO
67879,UnitedHealthcare ,CO
59036,UnitedHealthcare ,CO
39159,Aetna Life ,CT
86545,Anthem Health Plans  (Anthem BCBS),CT
74684,Celtic ,CT
87354,Cigna Health and Life ,CT
76962,ConnectiCare Benefits  ,CT
94815,ConnectiCare   ,CT
75091,ConnectiCare  ,CT
95882,Harvard Pilgrim Health Care  ,CT
91069,HealthyCT  ,CT
89130,HPHC   ,CT
29462,Oxford Health Insurance  ,CT
71179,Oxford Health Plans (CT)  ,CT
86542,Time ,CT
49650,UnitedHealthcare ,CT
73987,Aetna Life ,DC
77422,Aetna Life ,DC
86052,CareFirst BlueChoice ,DC
78079,GHMSI,DC
94506,Kaiser Foundation Health Plan Mid-Atlantic States ,DC
75753,Optimum Choice ,DC
41842,UnitedHealthcare ,DC
67190,Aetna Life ,DE
29497,Aetna Life ,DE
13537,Coventry Health and Life,DE
81914,Coventry Health Care ,DE
76168,Highmark Health ,DE
78960,John Alden Life ,DE
97569,Optimum Choice ,DE
97889,Time ,DE
61021,UnitedHealthcare ,DE
18628,Aetna Life ,FL
23841,Aetna Life ,FL
42204,All Savers ,FL
19898,AvMed ,FL
16842,Blue Cross and Blue Shield,FL
66966,Capital Health Plan,FL
21663,Celtic ,FL
48121,Cigna Health and Life ,FL
76089,Coventry Health and Life Insurance Co,FL
57451,Coventry Health Care ,FL
92120,Coventry Health Plan ,FL
56503,Florida Health Care Plan ,FL
40442,Freedom Life Insurance,FL
27357,Health First Health Plans ,FL
77150,Health First Insurance ,FL
30252,Health Options ,FL
99308,Humana ,FL
15980,Humana ,FL
35783,Humana ,FL
41240,John Alden Life ,FL
54172,Molina Healthcare ,FL
80779,Neighborhood Health Partnership ,FL
51398,Preferred Medical Plan ,FL
86382,Sunshine State Health Plan,FL
62662,Time ,FL
43839,UnitedHealthcare ,FL
17341,UnitedHealthcare Life ,FL
68398,UnitedHealthcare ,FL
82824,Aetna Life ,GA
83978,Aetna Life ,GA
83761,Alliant Health Plans,GA
82894,Athens Area Health Plan Select ,GA
63411,Blue Cross and Blue Shield ,GA
49046,Blue Cross Blue Shield Healthcare Plan ,GA
24775,Celtic ,GA
50491,Cigna Health and Life ,GA
65890,Coventry Health and Life,GA
47783,Coventry Health Care ,GA
38835,Federated Mutual ,GA
72796,Freedom Life Insurance,GA
93332,Humana ,GA
37001,Humana ,GA
50313,John Alden Life ,GA
89942,Kaiser Foundation Health Plan,GA
82302,Kaiser Permanente ,GA
12442,Nippon Life ,GA
45495,Peach State Health Plan,GA
20544,Time ,GA
30552,UnitedHealthcare Ins Co Valley,GA
13535,UnitedHealthcare ,GA
43802,UnitedHealthcare ,GA
14479,Family Health Hawaii mbs,HI
56682,Hawaii Medical Assurance Association,HI
18350,Hawaii Medical Service Association,HI
60612,Kaiser Foundation Health Plan ,HI
54179,UnitedHealthcare ,HI
95366,University Health Alliance (UHA),HI
74980,Avera Health Plans ,IA
87194,Celtic ,IA
71268,CoOportunity Health,IA
51820,Coventry Health and Life Insurance Co,IA
18973,Coventry Health Care ,IA
41397,Federated Mutual ,IA
27651,Gundersen Health Plan ,IA
77638,Health Alliance Midwest ,IA
67580,John Alden Life ,IA
50735,Medical Associates Health Plans,IA
51474,Pekin Life ,IA
85930,Sanford Health Plan,IA
48569,Standard Security Life,IA
68184,Time ,IA
88678,UnitedHealthcare ,IA
56610,UnitedHealthcare Plan River Valley ,IA
25896,Wellmark Health Plan,IA
72160,Wellmark ,IA
61175,Aetna Life ,ID
61589,Blue Cross Health Service ,ID
59765,BridgeSpan Health Company,ID
52156,John Alden Life ,ID
60597,PacificSource Health Plans,ID
